Rôle;Nom;Session;Pays;Ville;"Event Date	";Prédev;Dev;Prod;WIP ;Genre;Format;Submission opening;Deadline;Lien;Films;Restrictions
Festival;IFFR;Cinemart;Nettherland;Rotterdam;02/02/2025;;;;;Doc;Feature-length;;20/10/2025;https://iffr.com/en/iffr-pro/cinemart;;International Coproduction Market
Festival;Mix CPH;Queering the Pitch;Danmark;Copenhagen;24/10/2025;x;x;;;Fiction;CM;;17/10/2025;https://mixcopenhagen.dk/queering-the-pitch;;LGBT Pitching contest (5000€ to win) for scriptdoctoring
Fonds;Hubert Bals ;Co-pro ;Netherlands;Rotterdam;28/01/2025;;x;x;;Doc;Feature-length;;06/10/2025;https://iffr.com/en/hubert-bals-fund/hbf-practical-info-deadlines;;Netherland Producer should apply for a global south project over 60min
Fonds;Cinéma de la francophonie OIF;TV5 Monde Plus;Afrique;;01/10/2025;;x;x;;Tous;Tous;;01/10/2025;https://www.imagesfrancophones.org/soutiens/fonds-francophonie-tv5mondeplus/presentation;;Droits de diffusion Plateforme TV5 Monde + pour  projets avec un producteur des pays d'afrique francophone POSTULER LE 1er JOUR https://www.imagesfrancophones.org/soutiens/Fonds-image-de-la-francophonie/modalites
Fonds;Frameline;Completion Fund;USA;San Francisco;18/06/2025;;;;x;Tous;Tous;;01/10/2025;https://www.frameline.org/completionfund;Nuusiku;Gap Financing for LGBT project with 90% fullfiled budget, Up to 5000$, International Artists
Fonds;Global Film Inititative;;;;;;;x;x;Fiction;Feature-length;;01/10/2025;https://www.globalfilm.org/guidelines_en.html;;International projects, up to 10000$, Suspended ? 
Festival;Masharket;Marsharket;Rwanda;Kigali;02/11/2025;;x;x;;Fiction;Feature-length;;15/09/2025;https://www.linkedin.com/posts/masharket-kigali-international-content-market_masharket-brief-concept-and-call-under-activity-7236337993337192449-AaOt/;Nuusiku;African project, special attention for eastern african filmmakers
;SSIFF;Ikusmirak Berrriak;Espagne;San Sebastian;23/09/2024;;x;;;;;;02/09/2025;https://www.sansebastianfestival.com/2024/industria/ikusmiraberriak/1/21524/in;;Basques, Spanishs, Internationals (less french)
Festival;IFFR;Cine Mart;;Rotterdam;30/01/2025;;x;x;x;;Feature-length;;01/09/2025;https://iffr.com/en/iffr-pro/cinemart/cinemart-project-submission;;International 
Festival;IFFR;Competition;;Rotterdam;30/01/2025;;;;;;Feature-length;;01/09/2025;https://iffr.com/en/iffr-pro-submissions/film-entry;;International 
Program;Toronto Filmaker Lab;;Canada;Toronto;01/09/2025;x;x;;;Fiction;Feature-length;;01/09/2025;https://www.tiff.net/industry-filmmaker-lab;Nuusiku;Canadian and international project to pitch
Program;the gotham;Development documentary ;USA;;;x;x;;;Doc;Feature-length;01/08/2025;31/08/2025;https://thegotham.org/documentary-development-initiative/;;BIPOC, international,  LGBTQ+, and/or storytellers with disabilities
Program;The Writers Ink Institute;;USA;Los Angeles;01/10/2025;x;;;;Fiction;Feature-length;15/07/2025;30/08/2025;https://www.thewritersinkinstitute.org/;;Full online october/january program to develop the 1st Feature movie for artist theat never fully writed a full script, for international screenwriters
Program;New Filmmakers LA;;USA;Los Angeles;;x;x;x;x;Tous;Tous;01/08/2025;28/08/2025;https://www.newfilmmakersla.com/NewNarratives/;;International filmmakers, 5 * 5000 USD Grants, Director need to be recognize in a big film festival or development industry program
Fonds;Alter-Ciné;Global South;Canada;;;;x;x;x;Doc;;;15/08/2025;https://www.altercine.org/html/en/programme-de-bourses.php;Doculgbt, Nadine, Ecapuchadas;Global south director in Africa, Asia and LATAM & Chili
Festival;image+nation;;Canada;Montréal;20/11/2025;x;;;;Tous;Tous;;15/08/2025;https://filmfreeway.com/imagenationfestivalfilmlgbtMontreal/;;Festival LGBT + Scenario Lab pour court métrage
Program;Real Screen;Content accelerator for Women;;;;;;;;Doc;Ciné & TV;;01/08/2025;https://propelle.realscreen.com/entryinfo/entryguidelines;;
Fonds;Ithra;Film Production;Saudi Arabia;;;;;x;;Fiction;Tous;;01/08/2025;https://www.ithra.com/en/visit-ithra/attractions/cinema/ithra-film-production;;Arabian  Saudi Filmmakers
Festival;Cairo IFF;Competition;Egypte;Cairo;12/11/2025;;;;;Tous;Tous;;01/08/2025;https://vp.eventival.com/ciff/46th/film-form/film_submission;;"Premiere internationale for Feature   ; Short - 30 min"
Festival;Cairo IFF;Competition;Egypte;Cairo;12/11/2025;;x;x;;Fiction;Feature;;01/08/2025;https://vp.eventival.com/ciff/46th/film-form/film_submission;;International Feature
Program;Queer Art;Mentorship;USA;Lew York City;10/01/2025;x;x;;;Fiction;Tous;01/06/2025;31/07/2025;https://www.queer-art.org/mentorship;;USA Queer & LGBTQI+artists Mentorships, 
Program;Atelier Atlas  - MIFF;;Morocco;Marrakech;01/12/2025;x;x;;x;Tous;Feature-length;;31/07/2025;https://atlasateliers.marrakech-festival.com/fr;Nuusiku;MENA et Continent Africain, 1er, 2 ou 3eme film,  a lieu pendant le marrakech international film festival, il y a un co-production market
Festival;MARRAKECH IFF - Maroc;Comptetition;Maroc;Marrakech;25/11/2025;;;;;;;;30/07/2025;https://film-ateliersfestivalmarrakech.festicine.pro/en;;International 1st & 2nd
Fonds;Film Indepandant;Screenwriting Lab;USA;;;x;;;;Tous;Feature-length;01/07/2025;15/07/2025;https://www.filmindependent.org/programs/applications/;Nuusiku;International Filmmakers, lot of monney ! during all the year
Fonds;itvs;Diversity development fund;USA;;;x;x;;;Doc;Tous;;12/07/2025;https://itvs.org/funding/;;BIPOC director, International fund, USA co-producer, up to 25,000$
Fonds;SSFILM DOCUMENTARY FUND;;USA;San Francisco;01/10/2025;x;x;;;Doc;Feature-length;04/03/2025;07/07/2025;https://sffilm.org/documentary-film-fund/;Akshat, Bathe;International filmmakers, 10 000 / 15 000$
Program;Athena ;Screenwriting Lab;USA;Los Angeles;06/03/2025;x;;;;Fiction;Feature-length;01/06/2025;01/07/2025;https://filmfreeway.com/AFFWritersLab;;Online programm for Women screenwriters with no Feature film written yet. 2*10 000$ to win, 
Program;Athena ;Screenwriting Lab;USA;Los Angeles;07/03/2025;x;;;;Fiction;Feature-length;01/06/2025;01/07/2025;https://filmfreeway.com/AFFWritersLab;;Online programm for Women screenwriters with no Feature or tv film or serie written yet. 2*10 000$ to win, 
Festival;Doc Leipzig;Short n'Sweet;Deutschland;Leipzig;27/10/2025;;x;x;x;Doc;Tous;;01/07/2025;https://www.dok-leipzig.de/en/submission;Akshat;International 1st Animated documentary
;Forum de namur;;Belgique;Namur;28/09/2025;;x;;;;Feature-length;;30/06/2025;https://www.fiff.be/actualites/forum-de-namur-2024;;Francophone à l'tape de traitement.
Fonds;From the heart;Summer Grant;USA;;;x;x;x;x;Tous;Tous;;30/06/2025;https://filmfreeway.com/AFRIFF;Nuusiku, Doculgbt;International LGBTQI+ and Queer projects, 3 500$ grant + advantages + consultation
Festival;Doc Leipzig;Co-pro Market;Deutschland;Leipzig;27/10/2025;;x;x;;Doc;Tous;;15/06/2025;https://www.dok-leipzig.de/en/co-pro-market;;International projects with international audience in mind, artistic and series accepted
